Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Paper.Notes,WoS.Search,Google.Scholar,Partial.database,Original.Source_Publication.Year,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,Order,Common.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Current.Parent,Regional.Threat.Status,IUCN.Status.Current_SUB,Threat_Status_SUB,Latitude,Longitude,Wild.Managed.Captive,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,Clutch.Size.BoW,Clutch.Size.NZBO,Av.Clutch.Size,Av.Clutch.Size.Mean,Cooney2020_log.Clutch.Size,Cooney2020_10^.Clutch.Size,Nest.Clutch.no,Eggs.no,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.Clutch.Size,Egg.BoW.Clutch.Size,Total,Cases,Proportion,Standardised.Hatching.Success.Definition,Standardised.Hatchability.Definition,Other.Definition,Calculations.Estimations_HatchingFailure,Calculations.Estimations_TotalEggs,TotalEggs_Summary
2014,Ackerman et al. 2014,Ackerman et al. 2014 (01),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,Journal of Avian Biology,NA,YES,NO,NO,2014,YES,NO,2005,2006,Charadriiformes,Black-necked Stilt,Himantopus_himantopus,Himantopus_himantopus,NA,,LC,Non-threatened,37.4000000,-122.0000000,Wild,Natural,No,No,8,92,NA,17.00,,,3.77 ± 0.53,3.77,0.593286067,3.92,156,NA,588.12,611.52,NA,NA,588.12,541.0704,0.92,Not stated,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2014,Ackerman et al. 2014,Ackerman et al. 2014 (02),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,Journal of Avian Biology,NA,YES,NO,NO,2014,YES,NO,2005,2006,Charadriiformes,American Avocet,Recurvirostra_americana,Recurvirostra_americana,NA,,LC,Non-threatened,37.4000000,-122.0000000,Wild,Natural,No,No,10,90,NA,17.00,,,3.84 ± 0.47,3.84,0.591898987,3.9075,246,NA,944.64,961.245,NA,NA,944.64,850.176,0.9,Not stated,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2012,Aldredge 2012,Aldredge 2012 (01),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,Journal of Avian Biology,NA,YES,NO,YES,2012,YES,YES,2005,2007,Passeriformes,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,NA,,VU,Threatened,27.2500000,-81.4166670,Wild,Natural,No,No,10.8,89.2,0.00,0.00,,,4,4,0.567320504,3.6925,81,295,324,299.0925,NA,NA,295,263.14,0.892,An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,NA,NA,NA,Actual total
2012,Aldredge 2012,Aldredge 2012 (02),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,Journal of Avian Biology,NA,YES,NO,YES,2012,YES,YES,2005,2007,Passeriformes,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,NA,,VU,Threatened,27.1830510,-81.3520480,Wild,Natural,No,No,7.5,92.5,0.00,0.00,,,3,3,0.567320504,3.6925,101,338,303,372.9425,NA,NA,338,312.65,0.925,An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,NA,NA,NA,Actual total
2017,Aldredge 2017,Aldredge 2017 (01),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,Animal Behaviour,NA,YES,NO,NO,2017,YES,NO,2013,2014,Passeriformes,House Sparrow,Passer_domesticus,Passer_domesticus,NA,,LC,Non-threatened,36.4100000,-79.3400000,Wild managed,Natural,Yes,No,4,96,0.00,0.00,,,5.17 ± 0.13,5.17,0.640150041,4.366666667,26,122,134.42,113.5333333,NA,NA,122,117.12,0.96,Probability that an egg hatched [Embryo survival],NA,[Embryo Survival] Probability that egg hatched,NA,NA,Actual total
2017,Aldredge 2017,Aldredge 2017 (02),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,Animal Behaviour,NA,YES,NO,NO,2017,YES,NO,2013,2014,Passeriformes,House Sparrow,Passer_domesticus,Passer_domesticus,NA,,LC,Non-threatened,36.4100000,-79.3400000,Wild managed,Natural,Yes,No,8,92,0.00,0.00,,,5.42 ± 0.13,5.42,0.640150041,4.366666667,27,137,146.34,117.9,NA,NA,137,126.04,0.92,Probability that an egg hatched [Embryo survival],NA,[Embryo Survival] Probability that egg hatched,NA,NA,Actual total
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (01),Nest characteristics and reproductive performance in Great Tits Parus major,Ardeola,NA,YES,NO,NO,2011,YES,YES,2007,2007,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,39.7000000,-0.2500000,Wild managed,Natural,Yes,No,24.95,75.05,NA,14.41,,,9.13 ± 1.91,9.13,0.927498682,8.4625,16,NA,146.08,135.4,NA,NA,146.08,109.63304,0.7505,Percentage/Proportion of eggs that hatched,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (02),Nest characteristics and reproductive performance in Great Tits Parus major,Ardeola,NA,YES,NO,NO,2011,YES,YES,2006,2006,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,39.7000000,-0.2500000,Wild managed,Natural,Yes,No,14.26,85.74,NA,9.03,,,8.22 ± 1.07,8.22,0.927498682,8.4625,26,NA,213.72,220.025,NA,NA,213.72,183.243528,0.8574,Percentage/Proportion of eggs that hatched,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2017,Amininasab et al. 2017,Amininasab et al. 2017,The effect of male incubation feeding on female nest attendance and reproductive performance in a socially monogamous bird,Journal of Ornithology,NA,YES,NO,NO,2017,YES,NO,2014,2014,Passeriformes,Eurasian Blue Tit,Cyanistes_caeruleus,Parus_caeruleus,NA,,LC,Non-threatened,53.1333330,6.5833330,Wild managed,Natural,Yes,No,12,88,NA,16.00,,,11.06 ± 1.71,11.06,0.890001613,7.7625,62,NA,685.72,481.275,NA,NA,685.72,603.4336,0.88,Percentage/Proportion of eggs that hatched,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (01),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",Ornitologia Neotropical,NA,YES,NO,NO,2011,YES,NO,2007,2007,Charadriiformes,Royal Tern,Thalasseus_maximus,Sterna_maxima,NA,,LC,Non-threatened,25.1666670,-108.3833330,Wild,Natural,No,No,0,100,0.00,0.00,,,1.047619048,1.047619048,0.176091259,1.5,15,15,15.71428571,22.5,NA,NA,15,15,1,Not stated,NA,NA,HS% calculated from text,NA,Actual total
